"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"appl_url","アプリURL","http://localhost/eteam/main/appl/","メール配信(2)","1","2","1","","アプリのURL
駅すぱあと連携やメールに記載するURLに使用する。"
"mail_tsuuchi_system_name","メール通知システム名","OPEN21 Workflow","メール配信(2)","2","1","1","","システム名。メール通知等の文言に使用される。"
"intra_flg","連携フラグ","9","駅すぱあと連携","3","1","1","(0|1|9)","駅すぱあとの連携方法。
0:WebService版、1:イントラ版、9:連携しない。"
"intra_action","イントラ版起動URL","http://localhost/expwww2/expcgi.exe","駅すぱあと連携","4","1","0","","駅すぱあとイントラ版の起動URL。
以下のような、イントラ版のインストール先ホストのURL。
http://localhost/expwww2/expcgi.exe"
"ekispert_web_url_station","Webサービス駅名検索URL","http://api.ekispert.jp/v1/xml/station/light?","駅すぱあと連携","5","0","0","","駅すぱあとWebService版で駅名を取得する際のURL。"
"ekispert_web_url_route","Webサービス経路検索URL","http://api.ekispert.jp/v1/xml/search/course/extreme?","駅すぱあと連携","6","0","0","","駅すぱあとWebService版で経路を取得する際のURL。"
"ekispert_web_url_map_list","Webサービス路線図一覧検索URL","http://api.ekispert.jp/v1/xml/railmap/list?","駅すぱあと連携","7","0","0","","駅すぱあとWebService版で路線図一覧を取得する際のURL。"
"ekispert_web_url_map_station","Webサービス路線図駅名検索URL","http://api.ekispert.jp/v1/xml/railmap/detail?","駅すぱあと連携","8","0","0","","駅すぱあとWebService版で路線図内の駅名を取得する際のURL。"
"ekispert_web_url_map_image","Webサービス路線図取得URL","http://api.ekispert.jp/v1/xml/railmap/data?","駅すぱあと連携","9","0","0","","駅すぱあとWebService版で路線図を取得する際のURL。"
"ekispert_web_search","Webサービス探索条件生成URL","http://api.ekispert.jp/v1/xml/toolbox/course/condition?","駅すぱあと連携","10","0","0","","駅すぱあとWebService版で探索条件を生成する際のURL。"
"ekispert_ic_kbn","IC使用区分","ic","駅すぱあと連携","11","1","0","(ic|normal)","ICカードを使用する:ic
ICカードを使用しない:normal"
"ekispert_web_ic_preferred","Webサービス探索優先度","preferredTicketOrder=cheap","駅すぱあと連携","12","1","0","preferredTicketOrder=(ic|normal|cheap)","駅すぱあとWebService版のIC料金探索優先度(IC使用区分がICの場合のみ有効)
preferredTicketOrder=X
※Xは以下のいずれか。
ICカード乗車券を優先する:ic
普通乗車券を優先する:normal
安い乗車券を優先する:cheap"
"output_file_path_fbdata","FBデータ出力ファイルパス","c:\eteam\fbdata","FB 連携","13","2","1","","FBデータファイルパス"
"output_file_nm_fbdata","FBデータ出力ファイル名","FBDATA_{0}_{1}.txt","FB 連携","14","2","1","","FBデータファイルパス名
ファイル作成時、{0}を振込日(yyyymmdd)、{1}を振込元金融機関コード+支店コードで置換します。"
"list_num_for_shiharaibi","支払日リスト件数","5","FB 連携","15","1","1","[1-9]\d{0,1}","FBデータ再作成の個人精算支払日リストに表示する項目件数（1～99）。"
"op21mparam_kaisha_cd","会社コード","0001","OPEN21 連携","16","1","1","(?!0000)\d{4}","取り込み会社番号
0001～9999"
"shokuchi_cd","諸口コード","099999","OPEN21 連携","17","1","1","\d{1,6}","振替伝票の仕訳で借方貸方課税区分グループが共に「税込」の場合に使用する所謂「諸口」を表す勘定科目コード。
（6桁以内の半角数字）
OPEN21に同様の勘定科目コードが登録されていなければならない。"
"op21mparam_shori_kbn","処理区分","0","OPEN21 連携","18","0","0","(0|1)","0：データチェック＆ 取り込み
1：データチェックのみ"
"op21mparam_denpyou_keishiki","伝票形式","0","OPEN21 連携","19","0","0","(0|1|2)","0：単一形式
1：複合（手入力諸口）
2：複合（自動諸口）"
"op21mparam_furyou_data_log","不良データログ","11","OPEN21 連携","20","0","0","(0|1|11)","0：ログ不要（不良伝票が発生しても正常伝票は取込む）
1：ログ要（不良伝票が発生しても正常伝票は取込む）
11：ログ要（不良伝票発生時は全件取り込まない）"
"op21mparam_csv_path","CSV用ﾊﾟｽ","C:\eteam\tmp","OPEN21 連携","21","0","0","","一時作業用ファイルパス"
"op21mparam_csv_file_nm","CSVファイル名","ShiwakeDataTemp.csv","OPEN21 連携","22","0","0","","一時作業用ファイル名
拡張子*.CSV 固定"
"op21mparam_log_path","ログ用パス","C:\eteam\bat\logs","OPEN21 連携","23","0","0","","ログファイルパス"
"op21mparam_log_file_nm","ログファイル名","ShiwakeDataImport.log","OPEN21 連携","24","0","0","","ログファイル名
拡張子*.LOG 固定"
"op21mparam_layout_no","レイアウトNo","0","OPEN21 連携","25","0","0","","op21mparam_layout_no
現在0固定"
"op21mparam_denpyou_nyuuryoku_pattern","伝票入力パターン","0","OPEN21 連携","26","0","0","\d{0,2}","登録済み伝票入力パターン（0～99）
省略可能（0 を指定）"
"op21mparam_houka_kanzan_flg","邦貨換算フラグ","0","OPEN21 連携","27","0","0","(0|1)","0:外貨金額から邦貨金額の換算を行わない
1:外貨金額から邦貨金額の換算を行う
省略可能（0 を指定）"
"op21mparam_kidou_user","起動ユーザー","0001","OPEN21 連携","28","1","0","\d{0,4}","0001～9999 のOPEN21ユーザーを指定します。
削除及び未登録ユーザー、使用できないユーザーを除きます。
その他の場合は“0000”を指定します。"
"uf1_denpyou_id_hanei","ユニバーサルフィールド伝票ID反映","0","OPEN21 連携","29","1","1","(0|1)","ユニバーサルフィールド１に伝票IDを反映するかどうか。
ユニバーサルフィールド１が「マスター参照しない」設定の場合のみ、「1：反映する」ことが可能です。
0:反映しない
1:反映する"
"kake_nashi_shiharai_shiwake_sakusei","掛けなし　支払結果仕訳作成有無","1","OPEN21 連携","30","1","1","(0|1)","掛けなしの請求書払い申請明細から、支払結果仕訳（＝計上仕訳）を作成するかどうか。
0：作成しない
1：作成する"
"kake_ari_shiharai_shiwake_sakusei","掛けあり　支払結果仕訳作成有無","1","OPEN21 連携","31","1","1","(0|1)","掛けありの請求書払い申請明細から、支払結果仕訳を作成するかどうか。
※計上仕訳は当設定とは関係なく作成されます。
0：作成しない
1：作成する"
"keihiseisan_karibarai_henkin","経費立替仮払相殺","経費立替仮払相殺","OPEN21 連携","32","1","1","","経費立替精算抽出バッチで作成する仮払相殺仕訳の摘要文言に使用する。"
"ryohiseisan_karibarai_henkin","旅費精算仮払相殺","旅費精算仮払相殺","OPEN21 連携","33","1","1","","旅費精算抽出バッチで作成する仮払相殺時の摘要文言に使用する。"
