"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"Header","共通ヘッダー(共通インクルード)","1","1","1","1","1",""
"Footer","共通フッター(共通インクルード)","1","1","1","1","1",""
"BumonSentaku","部門選択","1","1","1","1","1",""
"UserSentaku","ユーザー選択","1","1","1","1","1",""
"BumonRoleSentaku","部門ロール選択","1","1","1","1","1",""
"GyoumuRoleSentaku","業務ロール選択","1","1","1","1","1",""
"QrCodeSakusei","QRコード作成","1","1","1","1","1",""
"Login","ログオン","1","1","1","1","1",""
"RoleSentaku","ロール選択","1","1","1","1","1",""
"ForcePasswordChange","強制パスワード変更","1","1","1","1","1",""
"HiDaikoushaSentaku","被代行者選択","1","1","0","0","0","DK"
"DaikoushaShitei","代行者指定","1","0","0","0","0","DK"
"BumonIchiran","部門一覧","0","1","0","1","0",""
"BumonTsuika","部門追加","0","1","0","1","0",""
"BumonHenkou","部門変更","0","1","0","1","0",""
"UserKensaku","ユーザー検索","0","1","0","1","0",""
"UserJouhouTsuika","ユーザー追加","0","1","0","1","0",""
"UserJouhou","ユーザー情報","1","1","0","1","0",""
"GyoumuRoleIchiran","業務ロール一覧","0","1","0","1","0",""
"GyoumuRoleTsuika","業務ロール追加","0","1","0","1","0",""
"GyoumuRoleHenkou","業務ロール変更","0","1","0","1","0",""
"BumonRoleIchiran","役割一覧","0","1","0","1","0",""
"BumonRoleTsuika","役割追加","0","1","0","1","0",""
"BumonRoleHenkou","役割変更","0","1","0","1","0",""
"MasterDataIchiran","マスターデータ一覧","0","1","0","1","0",""
"MasterDataTsuika","マスターデータ追加","0","1","0","1","0",""
"MasterDataTsuikaKakunin","マスターデータ追加確認","0","1","0","1","0",""
"MasterDataHenkou","マスターデータ変更","0","1","0","1","0",""
"MasterDataHenkouKakunin","マスターデータ変更確認","0","1","0","1","0",""
"MasterDataShoukai","マスターデータ照会","0","1","0","1","0",""
"SystemKanri","会社設定","0","1","0","1","0",""
"NittyuuDataRenkei","データ連携","0","1","0","1","1","KK"
"NittyuuDataRenkeiJyuri","データ連携受理","0","1","0","1","1","KK"
"BatchRenkeiKekkaKakunin","バッチ処理結果確認","0","1","0","1","1","BR"
"BackupUnyou","バックアップ運用","0","1","0","1","0",""
"DataAccessIchiran","データアクセス一覧","0","1","0","1","0","DL"
"DataAccess","データアクセス","0","1","0","1","0","DL"
"HelpEditor","ヘルプ編集","0","1","0","1","0",""
"HelpViewer","ヘルプ情報","1","1","1","1","1",""
"GazouUpload","画像アップロード","0","1","0","1","0",""
"GazouDownload","画像アップロード(ダウンロード)","1","1","1","1","1",""
"Menu","メニュー","1","1","1","1","1",""
"InformationIchiran","インフォメーション一覧","0","1","0","1","0",""
"InformationTsuika","インフォメーション追加","0","1","0","1","0",""
"InformationHenkou","インフォメーション変更","0","1","0","1","0",""
"InformationSanshou","インフォメーション参照","1","1","1","1","1",""
"DenpyouKanri","伝票管理","0","1","0","1","0",""
"ShinkiKihyou","新規起票","1","0","0","0","0",""
"GuidanceMaintenance","ガイダンスメンテナンス","0","1","0","1","0","GD"
"GuidanceMaintenanceMidashiTsuika","ガイダンスメンテナンス（見出し追加）","0","1","0","1","0","GD"
"GuidanceMaintenanceMidashiHensyu","ガイダンスメンテナンス（見出し設定）","0","1","0","1","0","GD"
"GuidanceMaintenanceJisyouTsuika","ガイダンスメンテナンス（事象追加）","0","1","0","1","0","GD"
"GuidanceMaintenanceJisyouHensyu","ガイダンスメンテナンス（事象設定）","0","1","0","1","0","GD"
"GuidanceKihyou","ガイダンス起票","1","0","0","0","0","GD"
"OkiniiriHensyu","お気に入り編集","1","0","0","0","0","OK"
"DenpyouSentaku","伝票選択","1","1","1","1","1",""
"MailTsuuchiSettei","メール通知設定","1","0","0","0","0","ML"
"TsuuchiIchiran","通知一覧","1","0","0","0","0",""
"DenpyouIchiran","伝票一覧","1","1","1","1","1",""
"DenpyouIchiranItem","伝票一覧表示項目変更","1","1","1","1","1",""
"SeikyuushoBarai","請求書払い申請","1","1","1","1","1",""
"SeikyuushoBaraiCSVUpload","請求書払い申請一括登録","1","0","0","0","0",""
"SeikyuushoBaraiCSVUploadKakunin","請求書払い申請一括登録確認","1","0","0","0","0",""
"KeihiTatekaeSeisan","経費立替精算","1","1","1","1","1",""
"KaribaraiShinsei","仮払申請","1","1","1","1","1",""
"RyohiSeisan","旅費精算","1","1","1","1","1",""
"RyohiSeisanShukuhakuryouhokaNyuuryoku","旅費精算（宿泊料他入力）","1","1","1","1","1",""
"RyohiSeisanKakoMeisaiSentaku","旅費精算（過去明細選択）","1","1","1","1","1",""
"RyohiKaribaraiShinsei","旅費仮払申請","1","1","1","1","1",""
"TsuukinTeikiShinsei","通勤定期申請","1","1","1","1","1",""
"FurikaeDenpyou","振替伝票","1","1","1","1","1",""
"SougouTsukekaeDenpyou","総合付替伝票","1","1","1","1","1",""
"JidouHikiotoshiDenpyou","自動引落伝票","1","1","1","1","1",""
"TorihikisakiSentaku","取引先選択","1","1","1","1","1",""
"ShiharaisakiSentaku","支払先選択","1","1","1","1","1",""
"TorihikiSentaku","取引（仕訳）選択","1","1","1","1","1",""
"FutanBumonSentaku","負担部門選択","1","1","1","1","1",""
"KanjyouKamokuSentaku","勘定科目選択","1","1","1","1","1",""
"KanjyouKamokuEdabanSentaku","勘定科目枝番選択","1","1","1","1","1",""
"KaribaraiAnkenSentaku","仮払案件選択","1","1","1","1","1",""
"UniversalSentaku","ユニバーサルフィールド選択","1","1","1","1","1",""
"ProjectSentaku","プロジェクト選択","1","1","1","1","1",""
"CSVDownload","CSVダウンロード","0","1","0","1","1","CS"
"FBDataSaiSakusei","FBデータ作成","0","1","0","1","1","FB"
