"denpyou_kbn","setting_kbn","setting_item","default_value","hyouji_flg","shiwake_pattern_var1","shiwake_pattern_var2","shiwake_pattern_var3","shiwake_pattern_var4","shiwake_pattern_var5"
"A001","1","SHAIN","","1","","","","",""
"A001","2","PROJECT","","1","<PROJECT>","","","",""
"A001","3","PROJECT","","0","","","","",""
"A001","4","PROJECT","","0","","","","",""
"A002","1","SHAIN","","1","","","","",""
"A002","2","PROJECT","","0","","","","",""
"A002","3","PROJECT","","0","","","","",""
"A002","4","PROJECT","","0","","","","",""
"A003","1","SHAIN","","1","","","","",""
"A003","2","PROJECT","","1","<PROJECT>","","","",""
"A003","3","PROJECT","","0","","","","",""
"A003","4","PROJECT","","0","","","","",""
"A004","1","SHAIN","","1","","","","",""
"A004","2","PROJECT","","1","<PROJECT>","","","",""
"A004","3","PROJECT","","0","","","","",""
"A004","4","PROJECT","","0","","","","",""
"A005","1","SHAIN","","1","","","","",""
"A005","2","PROJECT","","0","","","","",""
"A005","3","PROJECT","","0","","","","",""
"A005","4","PROJECT","","0","","","","",""
"A006","1","SHAIN","","1","","","","",""
"A006","2","PROJECT","","0","","","","",""
"A006","3","PROJECT","","0","","","","",""
"A006","4","PROJECT","","0","","","","",""
"A009","1","SHAIN","","1","","","","",""
"A009","2","PROJECT","","1","<PROJECT>","","","",""
"A009","3","PROJECT","","0","","","","",""
"A009","4","PROJECT","","0","","","","",""
