"master_id","et_column_id","et_column_name","et_data_type","op_colume_id","op_column_name","op_data_type","entry_order","pk_flg"
"kamoku_master","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",1,"1"
"kamoku_master","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",2,"0"
"kamoku_master","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",3,"0"
"kamoku_master","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",4,"0"
"kamoku_master","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",5,"0"
"kamoku_master","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",6,"0"
"kamoku_master","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",7,"0"
"kamoku_master","kamoku_group_kbn","科目グループ区分","smallint","GSW1","科目グループ区分","smallint",8,"0"
"kamoku_master","kamoku_group_bangou","科目グループ番号","smallint","GSW2","科目グループ番号","smallint",9,"0"
"kamoku_master","shori_group","処理グループ","smallint","SY01","処理グループ","smallint",10,"0"
"kamoku_master","taikakingaku_nyuuryoku_flg","対価金額入力フラグ","smallint","SY02","対価金額入力フラグ","smallint",11,"0"
"kamoku_master","kazei_kbn","課税区分","smallint","SY03","課税区分","smallint",12,"0"
"kamoku_master","bunri_kbn","分離区分","smallint","SY04","分離区分","smallint",13,"0"
"kamoku_master","shiire_kbn","仕入区分","smallint","SY05","仕入区分","smallint",14,"0"
"kamoku_master","gyousha_kbn","業種区分","smallint","SY06","業種区分","smallint",15,"0"
"kamoku_master","zeiritsu_kbn","税率区分","smallint","SY07","税率区分","smallint",16,"0"
"kamoku_master","tokusha_hyouji_kbn","特殊表示区分","smallint","SY08","特殊表示区分","smallint",17,"0"
"kamoku_master","edaban_minyuuryoku_check","枝番未入力チェック","smallint","KE02","枝番未入力チェック","smallint",18,"0"
"kamoku_master","torihikisaki_minyuuryoku_check","取引先未入力チェック","smallint","KT02","取引先未入力チェック","smallint",19,"0"
"kamoku_master","bumon_minyuuryoku_check","部門未入力チェック","smallint","KB02","部門未入力チェック","smallint",20,"0"
"kamoku_master","bumon_edaban_flg","部門科目枝番使用フラグ","smallint","BKE01","部門科目枝番使用フラグ","smallint",21,"0"
"kamoku_master","segment_minyuuryoku_check","セグメント未入力チェック","smallint","SG02","セグメント未入力チェック","smallint",22,"0"
"kamoku_master","project_minyuuryoku_check","プロジェクト未入力チェック","smallint","PJ02","プロジェクト未入力チェック","smallint",23,"0"
"kamoku_master","uf1_minyuuryoku_check","ユニバーサルフィールド１未入力チェック","smallint","UF12","ユニバーサルフィールド１未入力チェック","smallint",24,"0"
"kamoku_master","uf2_minyuuryoku_check","ユニバーサルフィールド２未入力チェック","smallint","UF22","ユニバーサルフィールド２未入力チェック","smallint",25,"0"
"kamoku_master","uf3_minyuuryoku_check","ユニバーサルフィールド３未入力チェック","smallint","UF32","ユニバーサルフィールド３未入力チェック","smallint",26,"0"
"kamoku_master","kouji_minyuuryoku_check","工事未入力チェック","smallint","KJ02","工事未入力チェック","smallint",27,"0"
"kamoku_master","kousha_minyuuryoku_check","工種未入力チェック","smallint","KS02","工種未入力チェック","smallint",28,"0"
"kamoku_master","tekiyou_cd_minyuuryoku_check","摘要コード未入力チェック","smallint","TK02","摘要コード未入力チェック","smallint",29,"0"
"kamoku_master","bumon_torhikisaki_kamoku_flg","部門取引先科目使用フラグ","smallint","BTK01","部門取引先科目使用フラグ","smallint",30,"0"
"kamoku_master","bumon_torihikisaki_edaban_shiyou_flg","部門取引先科目枝番使用フラグ","smallint","BTKE01","部門取引先科目枝番使用フラグ","smallint",31,"0"
"kamoku_master","torihikisaki_kamoku_edaban_flg","取引先科目枝番使用フラグ","smallint","TKE01","取引先科目枝番使用フラグ","smallint",32,"0"
"kamoku_master","segment_torihikisaki_kamoku_flg","セグメント取引先科目使用フラグ","smallint","STK01","セグメント取引先科目使用フラグ","smallint",33,"0"
"kamoku_edaban_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",1,"1"
"kamoku_edaban_zandaka","kamoku_edaban_cd","科目枝番コード","varchar","ECOD","枝番コード","char",2,"1"
"kamoku_edaban_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",3,"0"
"kamoku_edaban_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",4,"0"
"kamoku_edaban_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",5,"0"
"kamoku_edaban_zandaka","edaban_name","枝番名","varchar","ENAM","枝番名称","char",6,"0"
"kamoku_edaban_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",7,"0"
"kamoku_edaban_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",8,"0"
"kamoku_edaban_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",9,"0"
"kamoku_edaban_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",10,"0"
"bumon_master","futan_bumon_cd","負担部門コード","varchar","BCOD","部門コード","char",1,"1"
"bumon_master","futan_bumon_name","負担部門名","varchar","BNAM","部門名称","char",2,"0"
"bumon_master","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"bumon_master","shaukei_bumon_flg","集計部門フラグ","smallint","BFLG","集計部門フラグ","smallint",4,"0"
"bumon_kamoku_zandaka","futan_bumon_cd","負担部門コード","varchar","BCOD","部門コード","char",1,"1"
