"denpyou_kbn","koumoku_id","default_koumoku_name","koumoku_name","hyouji_flg","hissu_flg","hyouji_seigyo_flg","pdf_hyouji_flg","pdf_hyouji_seigyo_flg","hyouji_jun"
"A001","karibarai_sentaku","伺い(仮払)選択","伺い(仮払)選択","1","0","0","0","0","1"
"A001","karibarai_denpyou_id","伝票ID","伝票ID","1","0","0","1","1","2"
"A001","karibarai_on","仮払","仮払","1","0","0","0","0","3"
"A001","karibarai_tekiyou","摘要","摘要","1","0","0","0","0","4"
"A001","shinsei_kingaku","申請金額","申請金額","1","0","0","0","0","5"
"A001","karibarai_kingaku_sagaku","精算金額との差額","精算金額との差額","1","0","1","0","0","6"
"A001","karibarai_mishiyou_flg","仮払金未使用","仮払金未使用","1","0","0","0","0","7"
"A001","shiharaikiboubi","希望日","希望日","1","0","1","1","1","8"
"A001","shiharaihouhou","方法","方法","1","1","0","1","1","9"
"A001","hf1_cd","","","1","0","1","0","0","10"
"A001","hf2_cd","","","1","0","1","0","0","11"
"A001","hf3_cd","","","1","0","1","0","0","12"
"A001","user_name","使用者","使用者","1","1","0","1","1","13"
"A001","shiyoubi","使用日","使用日","1","1","1","1","1","14"
"A001","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","15"
"A001","torihiki_name","取引","取引","1","1","0","1","1","16"
"A001","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","1","17"
"A001","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","18"
"A001","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","19"
"A001","torihikisaki_name_ryakushiki","取引先","取引先","1","0","1","1","1","20"
"A001","project_name","プロジェクト","プロジェクト","1","0","1","1","1","21"
"A001","uf1_cd","","","1","0","1","0","0","22"
"A001","uf2_cd","","","1","0","1","0","0","23"
"A001","uf3_cd","","","1","0","1","0","0","24"
"A001","kari_kazei_kbn","課税区分","課税区分","1","1","0","1","1","25"
"A001","zeiritsu","消費税率","消費税率","1","1","0","1","1","26"
"A001","shiharai_kingaku","支払金額","支払金額","1","1","0","1","1","27"
"A001","houjin_card_riyou","法人カード利用","法人カード利用","1","0","0","1","1","28"
"A001","kaisha_tehai","会社手配","会社手配","1","0","0","1","1","29"
"A001","tekiyou","摘要","摘要","1","1","0","1","1","30"
"A001","kousaihi_shousai","交際費詳細","交際費詳細","1","0","0","0","0","31"
"A001","shiharai_kingaku_goukei","支払金額合計","支払金額合計","1","1","0","1","1","32"
"A001","uchi_houjin_card_riyou_goukei","法人カード利用合計","法人カード利用合計","1","1","0","1","1","33"
"A001","kaisha_tehai_goukei","会社手配合計","会社手配合計","1","1","0","1","1","34"
"A001","sashihiki_shikyuu_kingaku","差引支給金額","差引支給金額","1","1","0","1","1","35"
"A001","hosoku","補足","補足","1","0","1","1","1","36"
"A002","karibarai_on","仮払","仮払","1","1","0","1","1","1"
"A002","shiharaikiboubi","希望日","希望日","1","0","1","1","1","2"
"A002","shiharaihouhou","方法","方法","1","1","0","1","1","3"
"A002","hf1_cd","","","1","0","1","0","0","4"
"A002","hf2_cd","","","1","0","1","0","0","5"
"A002","hf3_cd","","","1","0","1","0","0","6"
"A002","torihiki_name","取引","取引","1","1","0","1","1","7"
"A002","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","0","8"
"A002","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","0","9"
"A002","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","10"
"A002","uf1_cd","","","1","0","1","0","0","11"
"A002","uf2_cd","","","1","0","1","0","0","12"
"A002","uf3_cd","","","1","0","1","0","0","13"
"A002","seisan_yoteibi","精算予定日","精算予定日","1","1","1","0","0","14"
"A002","shinsei_kingaku","申請金額","申請金額","1","1","0","1","1","15"
"A002","kingaku","仮払金額","仮払金額","1","1","0","1","1","16"
"A002","tekiyou","摘要","摘要","1","1","0","1","1","17"
"A002","hosoku","使用目的","使用目的","1","0","1","1","1","18"
"A003","shiharai_kigen","支払期限","支払期限","1","1","1","1","1","1"
"A003","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","2"
"A003","hf1_cd","","","1","0","1","0","0","3"
"A003","hf2_cd","","","1","0","1","0","0","4"
"A003","hf3_cd","","","1","0","1","0","0","5"
"A003","kake_flg","掛け","掛け","1","1","0","0","0","6"
"A003","torihiki_name","取引","取引","1","1","0","1","1","7"
"A003","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","1","8"
"A003","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","9"
