"line_cd","line_name"
"4a5","京福電気鉄道"
"5d1","広島電鉄(電車)"
"5e1","岡山電気軌道(電車)"
"901","札幌市交通局(市内電車)"
"905","ジェイ・アール北海道バス"
"906","じょうてつ"
"907","北海道中央バス"
"a01","西日本鉄道"
"a02","西鉄バス北九州"
"a03","西鉄高速バス"
"a04","西鉄バス佐賀"
"a05","西鉄バス久留米"
"a06","西鉄バス筑豊"
"a08","西鉄バス大牟田"
"a09","西鉄バス宗像"
"a0a","西鉄バス二日市"
"a0b","日田バス"
"a0d","昭和自動車"
"a0e","JR九州バス"
"a0f","亀の井バス"
"a10","大分バス"
"a11","大分交通"
"a12","熊本市交通局(電車)"
"c2a","京成バス"
"c2b","小湊鐡道"
"c2c","千葉交通"
"c2d","船橋新京成バス"
"c2e","習志野新京成バス"
"c2f","松戸新京成バス"
"c32","千葉中央バス"
"c37","東京ベイシティ交通"
"c39","千葉海浜交通"
"c3a","千葉内陸バス"
"c3b","ちばレインボーバス"
"c3c","ちばフラワーバス"
"c3d","ちばグリーンバス"
"c3e","ちばシティバス"
"c42","平和交通"
"c43","あすか交通"
"c44","京成トランジットバス"
"c48","市川交通自動車"
"c4a","都電・都バス"
"c4b","東急バス"
"c4c","京王電鉄バス"
"c4d","関東バス"
"c4e","西武バス"
"c4f","国際興業バス"
"c50","小田急バス"
"c51","東武バスセントラル"
"c52","立川バス"
"c53","西東京バス"
"c57","フジエクスプレス"
"c58","東京空港交通"
"c5a","小田急箱根高速バス"
"c5b","ジェイアールバス関東"
"c5c","日立自動車交通"
"c62","多摩バス"
"c65","京成タウンバス"
"c69","京浜急行バス"
"c6a","横浜市交通局"
"c6b","神奈川中央交通"
"c6c","川崎鶴見臨港バス"
"c6d","箱根登山バス"
"c6e","伊豆箱根バス"
"c6f","江ノ電バス横浜"
"c70","川崎市交通局"
"c71","相鉄バス(横浜・旭)"
"c72","富士急湘南バス"
"c74","江ノ電バス藤沢"
"c7c","相鉄バス(綾瀬)"
"c7e","山梨交通"
"c80","富士急行"
"c81","富士急山梨バス"
"c82","富士急平和観光バス"
"c83","富士急シティバス"
"c84","富士急静岡バス"
"c85","東急世田谷線"
"c89","京成バスシステム"
"d18","しずてつジャストライン"
"d29","名鉄バス"
"d2a","名古屋市交通局"
"d2b","豊橋鉄道(東田本線)"
"d2e","名古屋ガイドウェイバス"
"d47","新潟交通"
"e14","南海バス"
"e16","京阪バス"
"e1f","大阪市交通局"
"e20","高槻市交通局"
"e22","阪急バス"
"e23","水間鉄道バス"
"e29","大阪空港交通"
"e31","阪神バス"
"e33","神姫バス"
"e38","神戸市交通局"
"e3b","伊丹市交通局"
"e3d","山陽バス"
"e51","奈良交通"
"f00","日ノ丸自動車"
"f01","日本交通(鳥取)"
"f04","石見交通"
"f0a","中鉄バス"
"f0b","宇野自動車"
"f0c","両備バス"
"f0e","井笠鉄道"
"f0f","岡山電気軌道(バス)"
"f10","下津井電鉄"
"f13","井笠バスカンパニー"
"f14","広島電鉄(バス)"
"f15","広島バス"
"f16","広島交通"
"f17","広交観光"
"f18","芸陽バス"
"f19","中国バス"
"f1a","鞆鉄道"
"f1b","備北交通"
"f1e","さんようバス"
"f1f","中国JRバス"
"f20","呉市交通局"
"f24","HD西広島"
"f25","瀬戸内産交バス"
"f27","第一タクシー"
"f47","コトデンバス"
"fc8","宮島松大汽船"
"fc9","瀬戸内海汽船"
"fca","宮島ロープウエー"
"fcb","JR西日本宮島フェリー"
