"naibu_cd_name","naibu_cd","name","hyouji_jun","option1","option2","option3"
"kinou_seigyo_cd","DK","代行","0","","",""
"kinou_seigyo_cd","UD","一般ユーザーによる代行者指定","0","","",""
"kinou_seigyo_cd","KD","管理者による代行者指定","0","","",""
"kinou_seigyo_cd","GD","ガイダンス起票","0","","",""
"kinou_seigyo_cd","OK","お気に入り起票","0","","",""
"kinou_seigyo_cd","ML","メール配信","0","","",""
"kinou_seigyo_cd","CS","振込明細ダウンロード","0","","",""
"kinou_seigyo_cd","BR","バッチ連携結果確認","0","","",""
"kinou_seigyo_cd","KK","会計データ連携","0","","",""
"kinou_seigyo_cd","FB","FBデータ作成","0","","",""
"kinou_seigyo_cd","HC","法人カード","0","","",""
"kinou_seigyo_cd","DS","伝票作成","0","","",""
"kinou_seigyo_cd","WK","ワークフロー：起票","0","","",""
"kinou_seigyo_cd","WS","ワークフロー：申請","0","","",""
"kinou_seigyo_cd","WG","ワークフロー：取下げ","0","","",""
"kinou_seigyo_cd","WT","ワークフロー：取戻し","0","","",""
"kinou_seigyo_cd","WM","ワークフロー：差戻し","0","","",""
"kinou_seigyo_cd","WO","ワークフロー：承認","0","","",""
"kinou_seigyo_cd","WN","ワークフロー：否認","0","","",""
"kinou_seigyo_cd","RH","承認ルート変更","0","","",""
"kinou_seigyo_cd","RR","承認ルート変更(申請者による変更)","0","","",""
"kinou_seigyo_cd","RA","承認ルート変更(承認者による変更)","0","","",""
"kinou_seigyo_cd","ST","上長承認後の取戻し","0","","",""
"kinou_seigyo_cd","SS","上位先決承認","0","","",""
"kinou_seigyo_cd","TP","ファイル添付","0","","",""
"kinou_seigyo_cd","RC","領収書・請求書等チェック必須","0","","",""
"kinou_seigyo_cd","DL","データダウンロード","0","","",""
"kinou_seigyo_cd","GK","外貨入力","0","","",""
"kinou_seigyo_cd","KT","会社手配","0","","",""
"kinou_seigyo_cd","IC","ICカード","0","","",""
"kinou_seigyo_kbn","0","無効","0","","",""
"kinou_seigyo_kbn","1","有効","0","","",""
"gyoumu_role_kinou_seigyo_cd","WF","ワークフロー","0","","",""
"gyoumu_role_kinou_seigyo_cd","CO","会社設定","0","","",""
"gyoumu_role_kinou_seigyo_cd","KR","経理処理","0","","",""
"gyoumu_role_kinou_seigyo_kbn","0","無効","1","","",""
"gyoumu_role_kinou_seigyo_kbn","1","有効","2","","",""
"tsukin_kbn","1","運賃","1","","",""
"tsukin_kbn","2","通常","2","","",""
"tsukin_kbn","3","業務用","3","","",""
"tsukin_kbn","4","その他","4","","",""
"shiyou_kikan_kbn","01","1ヶ月","1","","",""
"shiyou_kikan_kbn","03","3ヶ月","2","","",""
"shiyou_kikan_kbn","06","6ヶ月","3","","",""
"shiwake_kbn","1","借方","1","","",""
"shiwake_kbn","2","貸方","2","","",""
"kazei_kbn","","未設定","1","","",""
"kazei_kbn","000","対象外","2","9","0",""
"kazei_kbn","001","税込","3","1","1",""
"kazei_kbn","003","免税","4","9","1",""
"kazei_kbn","004","非課税","5","9","0",""
"kazei_kbn_shiharaiirai","011","課込仕入","6","1","","1"
"kazei_kbn_shiharaiirai","041","非課税仕入","7","9","","1"
"kazei_kbn_group","1","税込","0","","",""
"kazei_kbn_group","2","税抜","0","","",""
"kazei_kbn_group","9","その他","0","","",""
"kamoku_kazei_kbn","0","対象外","0","0","",""
"kamoku_kazei_kbn","1","税込","0","1","",""
"kamoku_kazei_kbn","2","税抜","0","1","",""
"kamoku_kazei_kbn","3","免税","0","1","",""
"kamoku_kazei_kbn","4","非課税","0","0","",""
"kamoku_kazei_kbn","11","課込仕入","0","1","",""
"kamoku_kazei_kbn","12","課込売上","0","1","",""
"kamoku_kazei_kbn","13","課抜仕入","0","1","",""
"kamoku_kazei_kbn","14","課抜売上","0","1","",""
"kamoku_kazei_kbn","21","貸倒損込","0","1","",""
"kamoku_kazei_kbn","22","貸倒損抜","0","1","",""
"kamoku_kazei_kbn","23","貸倒回込","0","1","",""
"kamoku_kazei_kbn","24","貸倒回抜","0","1","",""
"kamoku_kazei_kbn","31","課税貨物","0","1","",""
"kamoku_kazei_kbn","32","貨物国税","0","0","",""
"kamoku_kazei_kbn","33","貨物地方税","0","0","",""
"kamoku_kazei_kbn","41","非課税仕入","0","0","",""
"kamoku_kazei_kbn","42","非課税売上","0","0","",""
"kamoku_kazei_kbn","51","特定収入","0","0","",""
"kamoku_kazei_kbn","52","使途不明特定収入","0","0","",""
"kamoku_kazei_kbn","99","計算外","0","0","",""
"kamoku_kazei_kbn","100","対象外(属性無し)","0","0","",""
"kamoku_kazei_kbn_group","0","非課税","0","","",""
"kamoku_kazei_kbn_group","1","課税","0","","",""
"hasuu_keisan_kbn","1","切下","1","","",""
"hasuu_keisan_kbn","2","切上","2","","",""
"hasuu_keisan_kbn","3","四捨五入","3","","",""
"hasuu_keisan_kbn","4","千円未満切り捨て","4","","",""
"sort_kbn","1","昇順","1","","",""
"sort_kbn","2","降順","2","","",""
"denpyou_kbn","A001","経費立替精算","1","","",""
"denpyou_kbn","A002","経費伺い申請（仮払申請）","2","","",""
"denpyou_kbn","A003","請求書払い申請","9","","",""
"denpyou_kbn","A004","出張旅費精算（仮払精算）","3","","",""
"denpyou_kbn","A005","出張伺い申請（仮払申請）","4","","",""
"denpyou_kbn","A006","通勤定期申請","8","","",""
"denpyou_kbn","A007","振替伝票","12","","",""
"denpyou_kbn","A008","総合付替伝票","13","","",""
"denpyou_kbn","A009","自動引落伝票","11","","",""
"denpyou_kbn","A010","交通費精算","7","","",""
"denpyou_kbn","A011","海外出張旅費精算（仮払精算）","5","","",""
"denpyou_kbn","A012","海外出張伺い申請（仮払申請）","6","","",""
"denpyou_kbn","A013","支払依頼申請","10","","",""
"denpyou_jyoutai","00","未起票","0","","",""
"denpyou_jyoutai","10","起票中","0","","",""
"denpyou_jyoutai","20","申請中","0","","",""
"denpyou_jyoutai","30","承認済","0","","",""
"denpyou_jyoutai","40","否認済","0","","",""
"denpyou_jyoutai","90","取下済","0","","",""
"joukyou","1","申請","0","","",""
"joukyou","2","取戻し","0","","",""
"joukyou","3","取下げ","0","","",""
"joukyou","4","承認","0","","",""
"joukyou","5","否認","0","","",""
"joukyou","6","差戻し","0","","",""
"info_status","9","全て","0","","",""
"info_status","1","掲載中","0","","",""
"info_status","2","未掲載","0","","",""
"info_status","3","掲載終了","0","","",""
"kanren_denpyou","000","要処理伝票全て","5","","",""
"kanren_denpyou","010","起票中","1","","",""
"kanren_denpyou","020","承認待ち","4","","",""
"kanren_denpyou","021","下位未承認伝票のみ","6","","",""
"kanren_denpyou","100","起票伝票全て","7","","",""
"kanren_denpyou","120","申請中","2","","",""
"kanren_denpyou","121","起票中 or 申請中","3","","",""
"tsukekae_kbn","1","借方固定","1","","",""
"tsukekae_kbn","2","貸方固定","2","","",""
"shouhyou_shorui","","","1","","",""
"shouhyou_shorui","1","あり","2","","",""
"shouhyou_shorui","0","なし","3","","",""
"ninshou_houhou","NO","認証しない","1","","",""
"ninshou_houhou","CR","CRAM-MD5","2","","",""
"ninshou_houhou","LI","LOGIN","3","","",""
"ninshou_houhou","PN","PLAIN","4","","",""
"shiwake_pattern_denpyou_kbn","A001","経費立替精算","1","1","",""
"shiwake_pattern_denpyou_kbn","A002","経費伺い申請（仮払申請）","2","1","",""
"shiwake_pattern_denpyou_kbn","A003","請求書払い申請","10","1","",""
"shiwake_pattern_denpyou_kbn","A004","出張旅費精算（仮払精算）","3","1","",""
"shiwake_pattern_denpyou_kbn","A005","出張伺い申請（仮払申請）","4","1","",""
"shiwake_pattern_denpyou_kbn","A006","通勤定期申請","9","1","",""
"shiwake_pattern_denpyou_kbn","A009","自動引落伝票","12","1","",""
"shiwake_pattern_denpyou_kbn","A010","交通費精算","8","1","",""
"shiwake_pattern_denpyou_kbn","A011","海外出張旅費精算（仮払精算）","5","1","",""
"shiwake_pattern_denpyou_kbn","A012","海外出張伺い申請（仮払申請）","7","1","",""
"shiwake_pattern_denpyou_kbn","A013","支払依頼申請","11","1","",""
"shiwake_pattern_denpyou_kbn","A901","経費立替精算（海外）","6","1","",""
"shiwake_pattern_setting_kbn","1","取引（仕訳）内容","1","","",""
"shiwake_pattern_setting_kbn","2","借方","2","","",""
"shiwake_pattern_setting_kbn","3","貸方1","3","","",""
"shiwake_pattern_setting_kbn","4","貸方2","4","","",""
"shiwake_pattern_setting_kbn","5","貸方3","5","","",""
"shiwake_pattern_setting_kbn","6","貸方4","6","","",""
"shiwake_pattern_setting_kbn","7","貸方5","7","","",""
"shiwake_pattern_setting_item","DEFAULT_HYOUJI","デフォルト表示","0","","",""
"shiwake_pattern_setting_item","KOUSAIHI","交際費","0","","",""
"shiwake_pattern_setting_item","KAKE","掛け","0","","",""
"shiwake_pattern_setting_item","SHAIN","社員コード連携","0","","",""
"shiwake_pattern_setting_item","HF1","ヘッダーフィールド1","0","","",""
"shiwake_pattern_setting_item","HF2","ヘッダーフィールド2","0","","",""
"shiwake_pattern_setting_item","HF3","ヘッダーフィールド3","0","","",""
"shiwake_pattern_setting_item","HF4","ヘッダーフィールド4","0","","",""
"shiwake_pattern_setting_item","HF5","ヘッダーフィールド5","0","","",""
"shiwake_pattern_setting_item","HF6","ヘッダーフィールド6","0","","",""
"shiwake_pattern_setting_item","HF7","ヘッダーフィールド7","0","","",""
"shiwake_pattern_setting_item","HF8","ヘッダーフィールド8","0","","",""
"shiwake_pattern_setting_item","HF9","ヘッダーフィールド9","0","","",""
"shiwake_pattern_setting_item","HF10","ヘッダーフィールド10","0","","",""
"shiwake_pattern_setting_item","BUMON","部門","0","","",""
"shiwake_pattern_setting_item","KAMOKU","科目","0","","",""
"shiwake_pattern_setting_item","KAMOKUEDABAN","科目枝番","0","","",""
"shiwake_pattern_setting_item","TORIHIKI","取引","0","","",""
"shiwake_pattern_setting_item","PROJECT","プロジェクト","0","","",""
"shiwake_pattern_setting_item","SEGMENT","セグメント","0","","",""
"shiwake_pattern_setting_item","UF1","ユニバーサルフィールド1","0","","",""
"shiwake_pattern_setting_item","UF2","ユニバーサルフィールド2","0","","",""
"shiwake_pattern_setting_item","UF3","ユニバーサルフィールド3","0","","",""
"shiwake_pattern_setting_item","UF4","ユニバーサルフィールド4","0","","",""
"shiwake_pattern_setting_item","UF5","ユニバーサルフィールド5","0","","",""
"shiwake_pattern_setting_item","UF6","ユニバーサルフィールド6","0","","",""
"shiwake_pattern_setting_item","UF7","ユニバーサルフィールド7","0","","",""
"shiwake_pattern_setting_item","UF8","ユニバーサルフィールド8","0","","",""
"shiwake_pattern_setting_item","UF9","ユニバーサルフィールド9","0","","",""
"shiwake_pattern_setting_item","UF10","ユニバーサルフィールド10","0","","",""
"shiwake_pattern_setting_item","UF_KOTEI1","ユニバーサルフィールド1（固定）","0","","",""
"shiwake_pattern_setting_item","UF_KOTEI2","ユニバーサルフィールド2（固定）","0","","",""
"shiwake_pattern_setting_item","UF_KOTEI3","ユニバーサルフィールド3（固定）","0","","",""
