"denpyou_kbn","koumoku_id","default_koumoku_name","koumoku_name","hyouji_flg","hissu_flg","hyouji_seigyo_flg","pdf_hyouji_flg","pdf_hyouji_seigyo_flg","code_output_flg","code_output_seigyo_flg","hyouji_jun"
"A001","karibarai_sentaku","伺い(仮払)選択","伺い(仮払)選択","1","0","0","0","0","0","0","1"
"A001","karibarai_denpyou_id","伝票ID","伝票ID","1","0","0","1","1","0","0","2"
"A001","karibarai_on","仮払","仮払","1","0","0","0","0","0","0","3"
"A001","karibarai_tekiyou","摘要","摘要","1","0","0","0","0","0","0","4"
"A001","shinsei_kingaku","申請金額","申請金額","1","0","0","0","0","0","0","5"
"A001","karibarai_kingaku_sagaku","精算金額との差額","精算金額との差額","1","0","1","0","0","0","0","6"
"A001","karibarai_mishiyou_flg","仮払金未使用","仮払金未使用","1","0","0","0","0","0","0","7"
"A001","shiharaikiboubi","希望日","希望日","1","0","1","1","1","0","0","8"
"A001","shiharaihouhou","方法","方法","1","1","0","1","1","0","0","9"
"A001","hf1_cd","","","1","0","1","0","0","0","0","10"
"A001","hf2_cd","","","1","0","1","0","0","0","0","11"
"A001","hf3_cd","","","1","0","1","0","0","0","0","12"
"A001","hf4_cd","","","0","0","1","0","0","0","0","13"
"A001","hf5_cd","","","0","0","1","0","0","0","0","14"
"A001","hf6_cd","","","0","0","1","0","0","0","0","15"
"A001","hf7_cd","","","0","0","1","0","0","0","0","16"
"A001","hf8_cd","","","0","0","1","0","0","0","0","17"
"A001","hf9_cd","","","0","0","1","0","0","0","0","18"
"A001","hf10_cd","","","0","0","1","0","0","0","0","19"
"A001","user_name","使用者","使用者","1","1","0","1","1","0","0","20"
"A001","shiyoubi","使用日","使用日","1","1","1","1","1","0","0","21"
"A001","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","0","0","22"
"A001","torihiki_name","取引","取引","1","1","0","1","1","0","1","23"
"A001","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","1","0","1","24"
"A001","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","0","1","25"
"A001","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","26"
"A001","torihikisaki_name_ryakushiki","取引先","取引先","1","0","1","1","1","0","1","27"
"A001","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","28"
"A001","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","29"
"A001","uf1_cd","","","1","0","1","0","0","0","0","30"
"A001","uf2_cd","","","1","0","1","0","0","0","0","31"
"A001","uf3_cd","","","1","0","1","0","0","0","0","32"
"A001","uf4_cd","","","0","0","1","0","0","0","0","33"
"A001","uf5_cd","","","0","0","1","0","0","0","0","34"
"A001","uf6_cd","","","0","0","1","0","0","0","0","35"
"A001","uf7_cd","","","0","0","1","0","0","0","0","36"
"A001","uf8_cd","","","0","0","1","0","0","0","0","37"
"A001","uf9_cd","","","0","0","1","0","0","0","0","38"
"A001","uf10_cd","","","0","0","1","0","0","0","0","39"
"A001","kari_kazei_kbn","課税区分","課税区分","1","1","0","1","1","0","0","40"
"A001","zeiritsu","消費税率","消費税率","1","1","0","1","1","0","0","41"
"A001","shiharai_kingaku","支払金額","支払金額","1","1","0","1","1","0","0","42"
"A001","houjin_card_riyou","法人カード利用","法人カード利用","1","0","0","1","1","0","0","43"
"A001","kaisha_tehai","会社手配","会社手配","1","0","0","1","1","0","0","44"
"A001","tekiyou","摘要","摘要","1","1","0","1","1","0","0","45"
"A001","kousaihi_shousai","交際費詳細","交際費詳細","1","0","0","0","1","0","0","46"
"A001","shiharai_kingaku_goukei","支払金額合計","支払金額合計","1","1","0","1","1","0","0","47"
"A001","uchi_houjin_card_riyou_goukei","法人カード利用合計","法人カード利用合計","1","1","0","1","1","0","0","48"
"A001","kaisha_tehai_goukei","会社手配合計","会社手配合計","1","1","0","1","1","0","0","49"
"A001","sashihiki_shikyuu_kingaku","差引支給金額","差引支給金額","1","1","0","1","1","0","0","50"
"A001","hosoku","補足","補足","1","0","1","1","1","0","0","51"
"A002","karibarai_on","仮払","仮払","1","1","0","1","1","0","0","1"
"A002","shiharaikiboubi","希望日","希望日","1","0","1","1","1","0","0","2"
"A002","shiharaihouhou","方法","方法","1","1","0","1","1","0","0","3"
"A002","hf1_cd","","","1","0","1","0","0","0","0","4"
"A002","hf2_cd","","","1","0","1","0","0","0","0","5"
"A002","hf3_cd","","","1","0","1","0","0","0","0","6"
"A002","hf4_cd","","","0","0","1","0","0","0","0","7"
"A002","hf5_cd","","","0","0","1","0","0","0","0","8"
"A002","hf6_cd","","","0","0","1","0","0","0","0","9"
"A002","hf7_cd","","","0","0","1","0","0","0","0","10"
"A002","hf8_cd","","","0","0","1","0","0","0","0","11"
"A002","hf9_cd","","","0","0","1","0","0","0","0","12"
"A002","hf10_cd","","","0","0","1","0","0","0","0","13"
"A002","torihiki_name","取引","取引","1","1","0","1","1","0","1","14"
"A002","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","1","0","1","15"
"A002","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","1","16"
"A002","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","17"
"A002","torihikisaki_name_ryakushiki","取引先","取引先","0","0","1","0","1","0","1","18"
"A002","project_name","プロジェクト","プロジェクト","0","0","1","0","1","0","1","19"
"A002","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","20"
"A002","uf1_cd","","","1","0","1","0","0","0","0","21"
"A002","uf2_cd","","","1","0","1","0","0","0","0","22"
"A002","uf3_cd","","","1","0","1","0","0","0","0","23"
"A002","uf4_cd","","","0","0","1","0","0","0","0","24"
"A002","uf5_cd","","","0","0","1","0","0","0","0","25"
"A002","uf6_cd","","","0","0","1","0","0","0","0","26"
"A002","uf7_cd","","","0","0","1","0","0","0","0","27"
"A002","uf8_cd","","","0","0","1","0","0","0","0","28"
"A002","uf9_cd","","","0","0","1","0","0","0","0","29"
"A002","uf10_cd","","","0","0","1","0","0","0","0","30"
"A002","seisan_yoteibi","精算予定日","精算予定日","1","1","1","0","0","0","0","31"
"A002","shinsei_kingaku","申請金額","申請金額","1","1","0","1","1","0","0","32"
"A002","kingaku","仮払金額","仮払金額","1","1","0","1","1","0","0","33"
"A002","tekiyou","摘要","摘要","1","1","0","1","1","0","0","34"
"A002","hosoku","使用目的","使用目的","1","0","1","1","1","0","0","35"
"A003","shiharai_kigen","支払期限","支払期限","1","1","1","1","1","0","0","1"
"A003","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","0","0","2"
"A003","hf1_cd","","","1","0","1","0","0","0","0","3"
"A003","hf2_cd","","","1","0","1","0","0","0","0","4"
"A003","hf3_cd","","","1","0","1","0","0","0","0","5"
"A003","hf4_cd","","","0","0","1","0","0","0","0","6"
"A003","hf5_cd","","","0","0","1","0","0","0","0","7"
"A003","hf6_cd","","","0","0","1","0","0","0","0","8"
"A003","hf7_cd","","","0","0","1","0","0","0","0","9"
"A003","hf8_cd","","","0","0","1","0","0","0","0","10"
"A003","hf9_cd","","","0","0","1","0","0","0","0","11"
"A003","hf10_cd","","","0","0","1","0","0","0","0","12"
"A003","kake_flg","掛け","掛け","1","1","0","0","0","0","0","13"
"A003","torihiki_name","取引","取引","1","1","0","1","1","0","1","14"
"A003","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","1","0","1","15"
"A003","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","0","1","16"
"A003","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","17"
"A003","torihikisaki_name_ryakushiki","取引先","取引先","1","0","1","1","1","1","1","18"
"A003","furikomisaki_jouhou","振込先","振込先","1","0","1","1","1","0","0","19"
"A003","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","20"
"A003","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","21"
"A003","uf1_cd","","","1","0","1","0","0","0","0","22"
"A003","uf2_cd","","","1","0","1","0","0","0","0","23"
"A003","uf3_cd","","","1","0","1","0","0","0","0","24"
"A003","uf4_cd","","","0","0","1","0","0","0","0","25"
"A003","uf5_cd","","","0","0","1","0","0","0","0","26"
"A003","uf6_cd","","","0","0","1","0","0","0","0","27"
"A003","uf7_cd","","","0","0","1","0","0","0","0","28"
"A003","uf8_cd","","","0","0","1","0","0","0","0","29"
"A003","uf9_cd","","","0","0","1","0","0","0","0","30"
"A003","uf10_cd","","","0","0","1","0","0","0","0","31"
"A003","kari_kazei_kbn","課税区分","課税区分","1","1","0","1","1","0","0","32"
"A003","zeiritsu","消費税率","消費税率","1","1","0","1","1","0","0","33"
"A003","shiharai_kingaku","支払金額","支払金額","1","1","0","1","1","0","0","34"
"A003","tekiyou","摘要","摘要","1","1","0","1","1","0","0","35"
"A003","kousaihi_shousai","交際費詳細","交際費詳細","1","0","0","0","1","0","0","36"
"A003","shiharai_kingaku_goukei","支払金額合計","支払金額合計","1","1","0","1","1","0","0","37"
"A003","hosoku","補足","補足","1","0","1","1","1","0","0","38"
"A013","torihikisaki_name_ryakushiki","取引先","取引先","1","1","0","1","0","0","0","1"
"A013","shiharaisaki_name","支払先名","支払先名","1","1","1","0","0","0","0","2"
"A013","yoteibi","予定日","予定日","1","1","0","1","0","0","0","3"
"A013","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","0","0","4"
"A013","hf1_cd","","","1","0","1","0","0","0","0","5"
"A013","hf2_cd","","","1","0","1","0","0","0","0","6"
"A013","hf3_cd","","","1","0","1","0","0","0","0","7"
"A013","hf4_cd","","","0","0","1","0","0","0","0","8"
"A013","hf5_cd","","","0","0","1","0","0","0","0","9"
"A013","hf6_cd","","","0","0","1","0","0","0","0","10"
"A013","hf7_cd","","","0","0","1","0","0","0","0","11"
"A013","hf8_cd","","","0","0","1","0","0","0","0","12"
"A013","hf9_cd","","","0","0","1","0","0","0","0","13"
"A013","hf10_cd","","","0","0","1","0","0","0","0","14"
"A013","torihiki_name","取引","取引","1","1","0","1","0","0","0","15"
"A013","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","0","0","0","16"
"A013","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","0","17"
"A013","kari_futan_bumon_name","負担部門","負担部門","1","0","1","0","1","0","0","18"
"A013","project_name","プロジェクト","プロジェクト","1","0","1","0","1","0","0","19"
"A013","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","20"
"A013","uf1_cd","","","1","0","1","0","0","0","0","21"
"A013","uf2_cd","","","1","0","1","0","0","0","0","22"
"A013","uf3_cd","","","1","0","1","0","0","0","0","23"
"A013","uf4_cd","","","0","0","1","0","0","0","0","24"
"A013","uf5_cd","","","0","0","1","0","0","0","0","25"
"A013","uf6_cd","","","0","0","1","0","0","0","0","26"
"A013","uf7_cd","","","0","0","1","0","0","0","0","27"
"A013","uf8_cd","","","0","0","1","0","0","0","0","28"
"A013","uf9_cd","","","0","0","1","0","0","0","0","29"
"A013","uf10_cd","","","0","0","1","0","0","0","0","30"
"A013","kari_kazei_kbn","課税区分","課税区分","1","1","0","1","0","0","0","31"
"A013","zeiritsu","消費税率","消費税率","1","1","0","1","0","0","0","32"
"A013","shiharai_kingaku","金額","金額","1","1","0","1","0","0","0","33"
"A013","tekiyou","摘要","摘要","1","1","0","1","0","0","0","34"
"A013","shiharai_goukei","支払合計","支払合計","1","1","0","1","0","0","0","35"
"A013","sousai_goukei","相殺合計","相殺合計","1","1","0","1","0","0","0","36"
"A013","sashihiki_goukei","差引支払額","差引支払額","1","1","0","1","0","0","0","37"
"A013","hosoku","補足","補足","1","0","1","0","1","0","0","38"
"A004","karibarai_sentaku","伺い(仮払)選択","伺い(仮払)選択","1","0","0","0","0","0","0","1"
"A004","user_name","使用者","使用者","1","1","0","1","1","0","0","2"
"A004","karibarai_denpyou_id","伝票ID","伝票ID","1","0","0","1","1","0","0","3"
"A004","karibarai_on","仮払","仮払","1","0","0","0","0","0","0","4"
"A004","karibarai_tekiyou","摘要","摘要","1","0","0","0","0","0","0","5"
"A004","shinsei_kingaku","申請金額","申請金額","1","0","0","0","0","0","0","6"
"A004","karibarai_kingaku_sagaku","精算金額との差額","精算金額との差額","1","0","1","0","0","0","0","7"
"A004","karibarai_mishiyou_flg","仮払金未使用","仮払金未使用","1","0","0","0","0","0","0","8"
"A004","shucchou_chuushi_flg","出張中止","出張中止","1","0","0","0","0","0","0","9"
"A004","hf1_cd","","","1","0","1","0","0","0","0","10"
"A004","hf2_cd","","","1","0","1","0","0","0","0","11"
"A004","hf3_cd","","","1","0","1","0","0","0","0","12"
"A004","hf4_cd","","","0","0","1","0","0","0","0","13"
"A004","hf5_cd","","","0","0","1","0","0","0","0","14"
"A004","hf6_cd","","","0","0","1","0","0","0","0","15"
"A004","hf7_cd","","","0","0","1","0","0","0","0","16"
"A004","hf8_cd","","","0","0","1","0","0","0","0","17"
"A004","hf9_cd","","","0","0","1","0","0","0","0","18"
"A004","hf10_cd","","","0","0","1","0","0","0","0","19"
