"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"BumonFurikaeSettei","振替伝票設定","0","1","0","1","0",""
"SuitouchouSettei","現預金出納帳設定","0","1","0","1","0",""
"SuitouchouTorihikiIchiran","現預金出納帳 取引（仕訳）一覧","0","1","0","0","1",""
"SuitouchouTorihikiTsuika","現預金出納帳 取引（仕訳）追加","0","1","0","0","1",""
"SuitouchouTorihikiHenkou","現預金出納帳 取引（仕訳）変更","0","1","0","0","1",""
"SuitouchouPatternCopy","出納帳パターンコピー","0","1","0","0","1",""
"ZaimuKyotenNyuryokuKihyou","新規起票","1","0","0","0","0",""
"ZaimuKyotenNyuryokuKensaku","財務拠点入力検索","1","1","1","1","1",""
"BumonFurikae","部門振替伝票","1","1","1","1","1",""
"GenyokinSuitouchou","現預金出納帳","1","1","1","1","1",""
"GenyokinSuitouchouKakunin","現預金出納帳確認","1","0","0","0","0",""
"TeikeiShiwakeTouroku","定型仕訳登録","1","1","1","1","1",""
"TeikeiShiwakeSentaku","定型仕訳選択","1","1","1","1","1",""
"TeikeiShiwakeMeisai","定型仕訳明細","1","1","1","1","1",""
"BumonFurikaeMeisai","部門振替伝票明細","1","1","1","1","1",""
"ZaimuKyotenNyuryokuKamokuSentaku","勘定科目選択","1","1","1","1","1",""
"ZaimuKyotenNyuryokuFutanBumonSentaku","負担部門選択","1","1","1","1","1",""
"GenyokinSuitouchouMeisai","現預金出納帳明細","1","1","1","1","1",""
"ZaimuKyotenShiwakeDataDe3Henkou","De3用仕訳詳細確認","1","1","1","1","1",""
"ZaimuKyotenShiwakeDataSiasHenkou","SIAS用仕訳詳細確認","1","1","1","1","1",""
"ZaimuKyotenNyuryokuPatternSentaku","財務拠点入力パターン選択","1","1","1","1","1",""
"SuitouchouTorihikiSentaku","現預金出納帳取引選択","1","1","1","1","1",""
