"master_id","et_column_id","et_column_name","et_data_type","op_colume_id","op_column_name","op_data_type","entry_order","pk_flg"
"kamoku_edaban_zandaka","kamoku_gaibu_cd","科目外部コード","varchar","KCOD","科目外部コード","char",1,"1"
"kamoku_edaban_zandaka","kamoku_edaban_cd","科目枝番コード","varchar","ECOD","枝番コード","char",2,"1"
"kamoku_edaban_zandaka","kamoku_naibu_cd","科目内部コード","varchar","KICD","科目内部コード","char",3,"0"
"kamoku_edaban_zandaka","kamoku_name_ryakushiki","科目名（略式）","varchar","KNMX","科目名称(略式)","char",4,"0"
"kamoku_edaban_zandaka","kamoku_name_seishiki","科目名（正式）","varchar","KNAM","科目名称(正式)","char",5,"0"
"kamoku_edaban_zandaka","edaban_name","枝番名","varchar","ENAM","枝番名称","char",6,"0"
"kamoku_edaban_zandaka","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",7,"0"
"kamoku_edaban_zandaka","chouhyou_shaturyoku_no","帳票出力順番号","smallint","KOCD","帳表出力順No","smallint",8,"0"
"kamoku_edaban_zandaka","taishaku_zokusei","貸借属性","smallint","KATT","貸借属性","smallint",9,"0"
"kamoku_edaban_zandaka","kishu_zandaka","期首残高","decimal","K000","期首残高","numeric",10,"0"
"kamoku_edaban_zandaka","kazei_kbn","課税区分","smallint","SY03","課税区分","smallint",11,"0"
"kamoku_edaban_zandaka","bunri_kbn","分離区分","smallint","SY04","分離区分","smallint",12,"0"
"bumon_master","futan_bumon_cd","負担部門コード","varchar","BCOD","部門コード","char",1,"1"
"bumon_master","futan_bumon_name","負担部門名","varchar","BNAM","部門名称","char",2,"0"
"bumon_master","kessanki_bangou","決算期番号","smallint","KI","決算期番号","smallint",3,"0"
"bumon_master","shaukei_bumon_flg","集計部門フラグ","smallint","BFLG","集計部門フラグ","smallint",4,"0"
"bumon_master","shiire_kbn","仕入区分","smallint","SY05","仕入区分","smallint",5,"0"
"bumon_master","nyuryoku_from_date","入力開始日","date","ISTAYMD","入力開始日","int",6,"0"
"bumon_master","nyuryoku_to_date","入力終了日","date","IENDYMD","入力終了日","int",7,"0"
"torihikisaki_master","torihikisaki_cd","取引先コード","varchar","TRCD","取引先コード","char",1,"1"
"torihikisaki_master","torihikisaki_name_ryakushiki","取引先名（略式）","varchar","TRMX","取引先名称（略式）","char",2,"0"
"torihikisaki_master","torihikisaki_name_seishiki","取引先名（正式）","varchar","TRNAM","取引先名称（正式）","char",3,"0"
"torihikisaki_master","torihikisaki_name_hankana","50音ｶﾅ","varchar","RNLD","50音ｶﾅ","char",4,"0"
"torihikisaki_master","nyuryoku_from_date","入力許可開始年月日","date","ISTAYMD","入力許可開始年月日","int",5,"0"
"torihikisaki_master","nyuryoku_to_date","入力許可終了年月日","date","IENDYMD","入力許可終了年月日","int",6,"0"
"torihikisaki_master","tekikaku_no","適格請求書発行事業者登録番号","varchar","INVOICEID","適格請求書発行事業者登録番号","char",7,"0"
"torihikisaki_master","menzei_jigyousha_flg","免税事業者等フラグ","varchar","MENZEIJIGYOUSYAFLG","免税事業者等フラグ","smallint",8,"0"
"ki_shouhizei_setting","内部決算期","kesn","smallint","KESN","内部決算期","smallint",1,"1"
"ki_shouhizei_setting","仕入税額按分フラグ","shiire_zeigaku_anbun_flg","smallint","ANBN","仕入税額按分フラグ","smallint",2,"0"
"ki_shouhizei_setting","消費税区分","shouhizei_kbn","smallint","SKBN","消費税区分","smallint",3,"0"
"ki_shouhizei_setting","端数処理フラグ","hasuu_shori_flg","smallint","HSSW","端数処理フラグ","smallint",4,"0"
"ki_shouhizei_setting","税額計算フラグ","zeigaku_keisan_flg","smallint","ZKEISAN","税額計算フラグ","smallint",5,"0"
"ki_shouhizei_setting","消費税対象科目未入力フラグ","shouhizeitaishou_minyuryoku_flg","smallint","ZTKCHK","消費税対象科目未入力フラグ","smallint",6,"0"
"ki_shouhizei_setting","資産","shisan","smallint","KBN1","資産","smallint",7,"0"
"ki_shouhizei_setting","売上","uriage","smallint","KBN2","売上","smallint",8,"0"
"ki_shouhizei_setting","仕入","shiire","smallint","KBN3","仕入","smallint",9,"0"
"ki_shouhizei_setting","経費","keihi","smallint","KBN4","経費","smallint",10,"0"
"ki_shouhizei_setting","部門別処理","bumonbetsu_shori","smallint","BMSW","部門別処理","smallint",11,"0"
"ki_shouhizei_setting","特定仕入取引等","tokuteishiire","smallint","TKSIRE","特定仕入取引等","smallint",12,"0"
"ki_shouhizei_setting","0円消費税作成","zero_shouhizei","smallint","ZERO","0円消費税作成","smallint",13,"0"
