"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"Header","共通ヘッダー(共通インクルード)","1","1","1","1","1",""
"Footer","共通フッター(共通インクルード)","1","1","1","1","1",""
"BumonSentaku","部門選択","1","1","1","1","1",""
"UserSentaku","ユーザー選択","1","1","1","1","1",""
"HiDaikouUserSentaku","被代行者選択（小画面）","1","1","1","1","1",""
"BumonRoleSentaku","部門ロール選択","1","1","1","1","1",""
"GyoumuRoleSentaku","業務ロール選択","1","1","1","1","1",""
"ManualSentaku","マニュアル選択","1","1","1","1","1",""
"QrCodeSakusei","QRコード作成","1","1","1","1","1",""
"Login","ログオン","1","1","1","1","1",""
"RoleSentaku","ロール選択","1","1","1","1","1",""
"ForcePasswordChange","強制パスワード変更","1","1","1","1","1",""
"HiDaikoushaSentaku","被代行者選択","1","1","0","0","0","DK"
"DaikoushaShitei","代行者指定","1","1","0","1","0","DK"
"BumonIchiran","所属部門一覧","0","1","0","1","0",""
"BumonTsuika","所属部門追加","0","1","0","1","0",""
"BumonHenkou","所属部門変更","0","1","0","1","0",""
"UserKensaku","ユーザー検索","0","1","0","1","0",""
"UserJouhouTsuika","ユーザー追加","0","1","0","1","0",""
"UserJouhou","ユーザー情報","1","1","0","1","0",""
"GyoumuRoleIchiran","業務ロール一覧","0","1","0","1","0",""
"GyoumuRoleTsuika","業務ロール追加","0","1","0","1","0",""
"GyoumuRoleHenkou","業務ロール変更","0","1","0","1","0",""
"BumonRoleIchiran","役割一覧","0","1","0","1","0",""
"BumonRoleTsuika","役割追加","0","1","0","1","0",""
"BumonRoleHenkou","役割変更","0","1","0","1","0",""
"MasterDataIchiran","マスターデータ一覧","0","1","0","1","0",""
"MasterDataHenkou","マスターデータ変更","0","1","0","1","0",""
"MasterDataHenkouKakunin","マスターデータ変更確認","0","1","0","1","0",""
"MasterDataShoukai","マスターデータ照会","0","1","0","1","0",""
"MasterDataEditDialog","マスターデータ編集ダイアログ","0","1","0","1","0",""
"SystemKanri","会社設定","0","1","0","1","0",""
"NittyuuDataRenkei","データ連携","0","1","0","1","1","KK"
"NittyuuDataRenkeiJyuri","データ連携受理","0","1","0","1","1","KK"
"BatchRenkeiKekkaKakunin","バッチ処理結果確認","0","1","0","1","1","BR"
"BackupUnyou","バックアップ運用","0","1","0","1","0",""
"BackupUnyouJyuri","バックアップ運用受理","0","1","0","1","0",""
"DenpyouIchiranKeijoubi","計上日更新","0","1","0","0","1",""
"GamenKoumokuKanri","画面項目設定","0","1","0","1","0",""
"DenpyouKoumokuKyoutsuSettei","伝票一覧全ユーザー共通表示項目設定","0","1","0","1","0",""
"IkkatsuTourokuBumon","部門一括登録","0","1","0","1","0",""
"IkkatsuTourokuBumonCsvUploadKakunin","部門一括登録確認","0","1","0","1","0",""
"IkkatsuTourokuUser","ユーザー一括登録","0","1","0","1","0",""
"IkkatsuTourokuUserCsvUploadKakunin","ユーザー一括登録確認","0","1","0","1","0",""
"IkkatsuTourokuBumonSuishouRoute","部門推奨ルート一括登録","0","1","0","1","0",""
"IkkatsuTourokuBumonSuishouRouteCSVUploadKakunin","部門推奨ルート一括登録確認","0","1","0","1","0",""
"IkkatsuTourokuTorihiki","取引（仕訳）一括登録","0","1","0","1","0",""
"IkkatsuTourokuTorihikiCSVUploadKakunin","取引（仕訳）一括登録確認","0","1","0","1","0",""
"IkkatsuTourokuBumonbetsuTorihiki","部門別取引（仕訳）一括登録","0","1","0","1","0",""
"IkkatsuTourokuBumonbetsuTorihikiCSVUploadKakunin","部門別取引（仕訳）一括登録確認","0","1","0","1","0",""
"DataAccessIchiran","データアクセス一覧","0","1","0","1","0","DL"
"DataAccess","データアクセス","0","1","0","1","0","DL"
"HelpEditor","ヘルプ編集","0","1","0","1","0",""
"HelpViewer","ヘルプ情報","1","1","1","1","1",""
"GazouUpload","画像アップロード","0","1","0","1","0",""
"GazouDownload","画像アップロード(ダウンロード)","1","1","1","1","1",""
"Menu","メニュー","1","1","1","1","1",""
"InformationIchiran","インフォメーション一覧","0","1","0","1","0",""
"InformationTsuika","インフォメーション追加","0","1","0","1","0",""
"InformationHenkou","インフォメーション変更","0","1","0","1","0",""
"InformationSanshou","インフォメーション参照","1","1","1","1","1",""
"DenpyouKanri","伝票管理","0","1","0","1","0",""
"ShinkiKihyou","新規起票","1","0","0","0","0",""
"GuidanceMaintenance","ガイダンスメンテナンス","0","1","0","1","0","GD"
"GuidanceMaintenanceMidashiTsuika","ガイダンスメンテナンス（見出し追加）","0","1","0","1","0","GD"
"GuidanceMaintenanceMidashiHensyu","ガイダンスメンテナンス（見出し設定）","0","1","0","1","0","GD"
"GuidanceMaintenanceJisyouTsuika","ガイダンスメンテナンス（事象追加）","0","1","0","1","0","GD"
"GuidanceMaintenanceJisyouHensyu","ガイダンスメンテナンス（事象設定）","0","1","0","1","0","GD"
"GuidanceKihyou","ガイダンス起票","1","0","0","0","0","GD"
"OkiniiriHensyu","お気に入り編集","1","0","0","0","0","OK"
"DenpyouSentaku","伝票選択","1","1","1","1","1",""
"MailTsuuchiSettei","メール通知設定","1","0","0","0","0","ML"
"TsuuchiIchiran","通知一覧","1","0","0","0","0",""
"DenpyouIchiran","伝票一覧","1","1","1","1","1",""
"DenpyouIchiranKaniTodoke","伝票一覧(簡易届検索表示用)","1","1","1","1","1",""
"DenpyouIchiranItem","伝票一覧表示項目変更","1","1","1","1","1",""
"ShikyuukingakuIchiran","社員別支給金額一覧","1","1","0","0","1",""
"SeikyuushoBarai","請求書払い申請","1","1","1","1","1",""
"SeikyuushoBaraiCSVUpload","請求書払い申請一括登録","1","0","0","0","0",""
"SeikyuushoBaraiCSVUploadKakunin","請求書払い申請一括登録確認","1","0","0","0","0",""
