"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"KaniTodokeTsuika","ユーザー定義届書追加","0","1","0","1","0","DS"
"KaniTodokeHenkou","ユーザー定義届書変更","0","1","0","1","0","DS"
"KaniTodokeIchiran","ユーザー定義届書一覧","0","1","0","1","0","DS"
"KaniTodokeTextAdd","ユーザー定義届書テキスト追加","0","1","0","1","0","DS"
"KaniTodokeRadioAdd","ユーザー定義届書ラジオ追加","0","1","0","1","0","DS"
"KaniTodokePullDownAdd","ユーザー定義届書プルダウン追加","0","1","0","1","0","DS"
"KaniTodokeCheckBoxAdd","ユーザー定義届書チェックボックス追加","0","1","0","1","0","DS"
"KaniTodokeTextAreaAdd","ユーザー定義届書テキストエリア追加","0","1","0","1","0","DS"
"KaniTodokeMasterItemAdd","ユーザー定義届書マスター追加","0","1","0","1","0","DS"
"KaniTodoke","ユーザー定義届書","1","1","1","1","1","DS"
